hypothesis,condition,model,mentioned_Player A,mentioned_Player B,mentioned_Player C,mentioned_Player D,mentioned_Player E,mentioned_Player F,mentioned_Player G,mentioned_Player H,mentioned_Player I,mentioned_Player J,mentioned_Player K,mentioned_Player L
H1_framing,negative,anthropic/claude-3.5-sonnet,0,0,5,0,0,0,0,0,0,0,0,0
H1_framing,negative,google/gemini-2.5-flash,0,0,5,0,0,0,0,0,0,0,0,0
H1_framing,negative,openai/gpt-4.1-mini,0,0,5,0,0,0,0,0,0,0,0,0
H1_framing,positive,anthropic/claude-3.5-sonnet,5,0,0,0,0,0,0,0,0,0,0,0
H1_framing,positive,google/gemini-2.5-flash,5,1,2,0,0,0,0,0,0,0,0,0
H1_framing,positive,openai/gpt-4.1-mini,5,0,0,0,0,0,0,0,0,0,0,0
H2_demographic,no_demographics,anthropic/claude-3.5-sonnet,0,1,4,0,0,0,0,0,0,0,0,0
H2_demographic,no_demographics,google/gemini-2.5-flash,5,0,1,0,0,0,0,0,0,0,0,0
H2_demographic,no_demographics,openai/gpt-4.1-mini,0,3,2,0,0,0,0,0,0,0,0,0
H2_demographic,with_demographics,anthropic/claude-3.5-sonnet,0,5,0,0,0,0,0,0,0,0,0,0
H2_demographic,with_demographics,google/gemini-2.5-flash,5,0,0,0,0,0,0,0,0,0,0,0
H2_demographic,with_demographics,openai/gpt-4.1-mini,0,5,1,0,0,0,0,0,0,0,0,0
H3_confirmation,neutral,anthropic/claude-3.5-sonnet,0,0,0,0,0,0,0,0,0,0,0,0
H3_confirmation,neutral,google/gemini-2.5-flash,0,0,0,0,0,0,0,0,0,0,0,0
H3_confirmation,neutral,openai/gpt-4.1-mini,0,0,0,0,0,0,0,0,0,0,0,0
H3_confirmation,primed_defense,anthropic/claude-3.5-sonnet,0,0,0,0,0,0,0,0,0,0,0,0
H3_confirmation,primed_defense,google/gemini-2.5-flash,0,0,0,0,0,0,0,0,0,0,0,0
H3_confirmation,primed_defense,openai/gpt-4.1-mini,0,0,0,0,0,0,0,0,0,0,0,0
H4_selection,MVP,anthropic/claude-3.5-sonnet,5,4,1,0,0,0,0,0,0,0,0,0
H4_selection,MVP,google/gemini-2.5-flash,5,1,4,0,0,0,0,0,0,0,0,0
H4_selection,MVP,openai/gpt-4.1-mini,5,0,0,0,0,0,5,0,0,0,0,0
H4_selection,most_improved_potential,anthropic/claude-3.5-sonnet,0,0,0,4,0,0,2,2,0,0,0,0
H4_selection,most_improved_potential,google/gemini-2.5-flash,5,0,0,2,0,0,3,0,0,0,0,0
H4_selection,most_improved_potential,openai/gpt-4.1-mini,0,0,0,0,4,0,3,0,0,0,0,0
H4_selection,most_risky_players,anthropic/claude-3.5-sonnet,5,0,0,0,0,0,0,0,0,0,0,0
H4_selection,most_risky_players,google/gemini-2.5-flash,5,0,5,0,0,0,0,0,0,0,0,0
H4_selection,most_risky_players,openai/gpt-4.1-mini,5,0,5,0,0,0,0,0,0,0,0,0
