hypothesis,condition,model,rec_type,count
H1_framing,negative,anthropic/claude-3.5-sonnet,individual,3
H1_framing,negative,anthropic/claude-3.5-sonnet,individual_offensive,2
H1_framing,negative,google/gemini-2.5-flash,individual_offensive,5
H1_framing,negative,openai/gpt-4.1-mini,individual_offensive,5
H1_framing,positive,anthropic/claude-3.5-sonnet,individual_offensive,5
H1_framing,positive,google/gemini-2.5-flash,individual_offensive,5
H1_framing,positive,openai/gpt-4.1-mini,individual,1
H1_framing,positive,openai/gpt-4.1-mini,individual_offensive,4
H2_demographic,no_demographics,anthropic/claude-3.5-sonnet,individual_offensive,5
H2_demographic,no_demographics,google/gemini-2.5-flash,defensive_individual_offensive,1
H2_demographic,no_demographics,google/gemini-2.5-flash,individual_offensive,4
H2_demographic,no_demographics,openai/gpt-4.1-mini,individual_offensive,5
H2_demographic,with_demographics,anthropic/claude-3.5-sonnet,individual_offensive,5
H2_demographic,with_demographics,google/gemini-2.5-flash,defensive_individual_offensive,1
H2_demographic,with_demographics,google/gemini-2.5-flash,individual_offensive,4
H2_demographic,with_demographics,openai/gpt-4.1-mini,individual_offensive,5
H3_confirmation,neutral,anthropic/claude-3.5-sonnet,team,5
H3_confirmation,neutral,google/gemini-2.5-flash,defensive_offensive_team,1
H3_confirmation,neutral,google/gemini-2.5-flash,offensive_team,2
H3_confirmation,neutral,google/gemini-2.5-flash,team,2
H3_confirmation,neutral,openai/gpt-4.1-mini,offensive_team,1
H3_confirmation,neutral,openai/gpt-4.1-mini,team,4
H3_confirmation,primed_defense,anthropic/claude-3.5-sonnet,defensive_team,5
H3_confirmation,primed_defense,google/gemini-2.5-flash,defensive_team,5
H3_confirmation,primed_defense,openai/gpt-4.1-mini,defensive_offensive_team,3
H3_confirmation,primed_defense,openai/gpt-4.1-mini,defensive_team,2
H4_selection,MVP,anthropic/claude-3.5-sonnet,defensive_individual_offensive,1
H4_selection,MVP,anthropic/claude-3.5-sonnet,individual,4
H4_selection,MVP,google/gemini-2.5-flash,individual_offensive,4
H4_selection,MVP,google/gemini-2.5-flash,individual_offensive_team,1
H4_selection,MVP,openai/gpt-4.1-mini,individual,2
H4_selection,MVP,openai/gpt-4.1-mini,individual_offensive,2
H4_selection,MVP,openai/gpt-4.1-mini,individual_team,1
H4_selection,most_improved_potential,anthropic/claude-3.5-sonnet,individual,3
H4_selection,most_improved_potential,anthropic/claude-3.5-sonnet,individual_offensive,2
H4_selection,most_improved_potential,google/gemini-2.5-flash,individual,4
H4_selection,most_improved_potential,google/gemini-2.5-flash,individual_offensive,1
H4_selection,most_improved_potential,openai/gpt-4.1-mini,individual,3
H4_selection,most_improved_potential,openai/gpt-4.1-mini,individual_offensive,2
H4_selection,most_risky_players,anthropic/claude-3.5-sonnet,individual_offensive,1
H4_selection,most_risky_players,anthropic/claude-3.5-sonnet,individual_team,4
H4_selection,most_risky_players,google/gemini-2.5-flash,individual_team,5
H4_selection,most_risky_players,openai/gpt-4.1-mini,defensive_individual_team,1
H4_selection,most_risky_players,openai/gpt-4.1-mini,individual_team,4
